  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         515         515   1.94174761E-03   1.94174761E-03   1.79999995       9.99999997E-07   50.0000000       1.00000005E-03   1000.00000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
   0.00000000       6.69380427E-07   0.00000000       9.90999979E-07
   1.00000005E-03   7.80346454E-07   2.08965503E-08   9.96282324E-07
   2.00000009E-03   6.83627150E-07   7.13625923E-08   9.98610631E-07
   3.00000003E-03   7.86443707E-07   1.63912773E-07   9.98959877E-07
   4.00000019E-03   6.65662810E-07   1.99303031E-07   9.98028554E-07
   5.00000035E-03   6.21657819E-07   2.18860805E-07   9.99076292E-07
   6.00000052E-03   6.04544766E-07   2.17929482E-07   9.99541953E-07
   7.00000068E-03   9.81148332E-07   3.35276127E-07   9.99774784E-07
   8.00000038E-03   9.57807060E-07   3.27825546E-07   9.99774784E-07
   9.00000054E-03   8.44709575E-07   3.05473804E-07   9.99309123E-07
   1.00000007E-02   8.23289156E-07   2.79396772E-07   9.99309123E-07
   1.10000009E-02   8.04022420E-07   2.64495611E-07   9.97446477E-07
   1.20000010E-02   7.59959221E-07   2.42143869E-07   9.99309123E-07
   1.30000012E-02   7.41332769E-07   2.27242708E-07   9.99309123E-07
   1.40000014E-02   7.30156898E-07   2.14204192E-07   9.98377800E-07
   1.50000015E-02   7.26431608E-07   2.07597623E-07   9.98377800E-07
   1.60000008E-02   7.26431608E-07   2.10216967E-07   9.98377800E-07
   1.70000009E-02   7.22706318E-07   2.09489372E-07   9.98377800E-07
   1.80000011E-02   7.30156898E-07   2.03086529E-07   9.98377800E-07
   1.90000013E-02   7.41332769E-07   1.97032932E-07   9.98377800E-07
   2.00000014E-02   7.48783350E-07   1.93715096E-07   9.98377800E-07
   2.10000016E-02   7.59959221E-07   1.79978088E-07   9.98377800E-07
   2.20000017E-02   7.52508640E-07   2.08616257E-07   9.98377800E-07
   2.30000019E-02   7.71135092E-07   2.23517418E-07   9.98377800E-07
   2.40000021E-02   7.74860382E-07   1.93715096E-07   9.98377800E-07
   2.50000022E-02   7.78585672E-07   1.93715096E-07   9.90927219E-07
   2.60000024E-02   7.82310963E-07   2.08616257E-07   9.90927219E-07
   2.70000026E-02   7.89761543E-07   2.23517418E-07   9.90927219E-07
   2.80000027E-02   7.89761543E-07   2.23517418E-07   9.90927219E-07
   2.90000029E-02   7.93486834E-07   1.78813934E-07   9.90927219E-07
   3.00000031E-02   7.97212124E-07   1.93715096E-07   9.98377800E-07
   3.10000032E-02   7.89761543E-07   2.38418579E-07   9.90927219E-07
   3.20000015E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   3.29999998E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   3.39999981E-02   7.97212124E-07   2.23517418E-07   9.90927219E-07
   3.49999964E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   3.59999947E-02   7.82310963E-07   1.93715096E-07   9.90927219E-07
   3.69999930E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   3.79999913E-02   8.04662704E-07   1.93715096E-07   9.90927219E-07
   3.89999896E-02   8.04662704E-07   2.08616257E-07   9.90927219E-07
   3.99999879E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   4.09999862E-02   7.97212124E-07   2.08616257E-07   9.90927219E-07
   4.19999845E-02   8.04662704E-07   2.08616257E-07   9.90927219E-07
   4.29999828E-02   7.97212124E-07   1.78813934E-07   9.90927219E-07
   4.39999811E-02   8.12113285E-07   1.78813934E-07   9.90927219E-07
   4.49999794E-02   8.04662704E-07   2.38418579E-07   9.90927219E-07
   4.59999777E-02   7.89761543E-07   1.78813934E-07   9.90927219E-07
   4.69999760E-02   8.04662704E-07   2.08616257E-07   9.90927219E-07
   4.79999743E-02   8.04662704E-07   2.08616257E-07   9.98377800E-07
   4.89999726E-02   7.97212124E-07   2.08616257E-07   9.98377800E-07
   4.99999709E-02   8.19563866E-07   2.08616257E-07   9.98377800E-07
   5.09999692E-02   8.19563866E-07   2.68220901E-07   9.98377800E-07
   5.19999675E-02   8.04662704E-07   2.08616257E-07   9.98377800E-07
   5.29999658E-02   8.12113285E-07   2.08616257E-07   9.98377800E-07
   5.39999641E-02   8.12113285E-07   2.08616257E-07   9.98377800E-07
   5.49999624E-02   8.12113285E-07   2.38418579E-07   9.98377800E-07
   5.59999608E-02   8.19563866E-07   2.68220901E-07   9.98377800E-07
   5.69999591E-02   8.04662704E-07   2.68220901E-07   9.98377800E-07
   5.79999574E-02   8.27014446E-07   1.78813934E-07   9.98377800E-07
   5.89999557E-02   8.19563866E-07   2.08616257E-07   9.98377800E-07
   5.99999540E-02   8.19563866E-07   2.08616257E-07   9.98377800E-07
   6.09999523E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   6.19999506E-02   8.34465027E-07   2.38418579E-07   9.98377800E-07
   6.29999489E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   6.39999509E-02   8.27014446E-07   2.08616257E-07   9.98377800E-07
   6.49999529E-02   8.19563866E-07   1.93715096E-07   9.99360054E-07
   6.59999549E-02   8.19563866E-07   2.98023224E-07   9.99980330E-07
   6.69999570E-02   8.19563866E-07   2.68220901E-07   9.99702024E-07
   6.79999590E-02   8.27014446E-07   2.08616257E-07   9.99512849E-07
   6.89999610E-02   8.27014446E-07   2.38418579E-07   9.98032192E-07
   6.99999630E-02   8.34465027E-07   2.38418579E-07   9.98639734E-07
   7.09999651E-02   8.27014446E-07   2.38418579E-07   9.99178155E-07
   7.19999671E-02   8.34465027E-07   2.08616257E-07   9.99189069E-07
   7.29999691E-02   8.34465027E-07   2.08616257E-07   9.99991244E-07
   7.39999712E-02   8.34465027E-07   2.38418579E-07   9.99689291E-07
   7.49999732E-02   8.19563866E-07   2.68220901E-07   9.99156327E-07
   7.59999752E-02   8.12113285E-07   2.38418579E-07   9.99774784E-07
   7.69999772E-02   8.34465027E-07   2.08616257E-07   9.99774784E-07
   7.79999793E-02   8.41915607E-07   2.08616257E-07   9.99309123E-07
   7.89999813E-02   8.34465027E-07   2.38418579E-07   9.99309123E-07
   7.99999833E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   8.09999853E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   8.19999874E-02   8.34465027E-07   2.08616257E-07   9.98377800E-07
   8.29999894E-02   8.34465027E-07   2.38418579E-07   9.98377800E-07
   8.39999914E-02   8.27014446E-07   2.08616257E-07   9.98377800E-07
   8.49999934E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   8.59999955E-02   8.41915607E-07   2.38418579E-07   9.98377800E-07
   8.69999975E-02   8.27014446E-07   2.38418579E-07   9.98377800E-07
   8.79999995E-02   8.41915607E-07   2.68220901E-07   9.98377800E-07
   8.90000015E-02   8.34465027E-07   2.38418579E-07   9.98377800E-07
   9.00000036E-02   8.41915607E-07   2.08616257E-07   9.98377800E-07
   9.10000056E-02   8.41915607E-07   2.08616257E-07   9.98377800E-07
   9.20000076E-02   8.49366188E-07   1.78813934E-07   9.98377800E-07
   9.30000097E-02   8.41915607E-07   2.08616257E-07   9.98377800E-07
   9.40000117E-02   8.49366188E-07   2.08616257E-07   9.98377800E-07
   9.50000137E-02   8.41915607E-07   2.38418579E-07   9.98377800E-07
   9.60000157E-02   8.49366188E-07   2.68220901E-07   9.98377800E-07
   9.70000178E-02   8.41915607E-07   2.08616257E-07   9.96515155E-07
   9.80000198E-02   8.49366188E-07   2.38418579E-07   9.98377800E-07
   9.90000218E-02   8.41915607E-07   2.08616257E-07   9.96515155E-07
  0.100000024       8.41915607E-07   2.08616257E-07   9.98377800E-07
  0.101000026       8.34465027E-07   1.78813934E-07   9.98377800E-07
  0.102000028       8.41915607E-07   1.78813934E-07   9.98377800E-07
  0.103000030       8.49366188E-07   2.08616257E-07   9.98377800E-07
  0.104000032       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.105000034       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.106000036       8.49366188E-07   1.49011612E-07   9.98377800E-07
  0.107000038       8.49366188E-07   2.08616257E-07   9.98377800E-07
  0.108000040       8.41915607E-07   2.08616257E-07   9.98377800E-07
  0.109000042       8.49366188E-07   2.08616257E-07   9.98377800E-07
  0.110000044       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.111000046       8.49366188E-07   2.08616257E-07   9.98377800E-07
  0.112000048       8.49366188E-07   1.49011612E-07   9.90927219E-07
  0.113000050       8.49366188E-07   2.08616257E-07   9.90927219E-07
  0.114000052       8.49366188E-07   1.78813934E-07   9.90927219E-07
  0.115000054       8.49366188E-07   1.49011612E-07   9.90927219E-07
  0.116000056       8.49366188E-07   2.08616257E-07   9.90927219E-07
  0.117000058       8.41915607E-07   2.08616257E-07   9.90927219E-07
  0.118000060       8.41915607E-07   1.78813934E-07   9.99381882E-07
  0.119000062       8.49366188E-07   2.08616257E-07   9.97286406E-07
  0.120000064       8.49366188E-07   2.38418579E-07   9.98552423E-07
  0.121000066       8.41915607E-07   1.78813934E-07   9.99808435E-07
  0.122000068       8.41915607E-07   2.08616257E-07   9.98985342E-07
  0.123000070       8.49366188E-07   2.08616257E-07   9.99685653E-07
  0.124000072       8.49366188E-07   2.38418579E-07   9.99511940E-07
